,Frame,Target_x,Target_y,H_x,H_y,H_o,F1_x,F1_y,F1_o,F2_x,F2_y,F2_o,F3_x,F3_y,F3_o,T_x,T_y,T_o
59,60,502,158,637,73,164,710,159,123,737,255,101,724,360,34,649,400,-1
60,61,502,158,635,73,163,709,158,124,736,253,99,724,359,41,648,399,-2
61,62,502,158,635,72,162,708,157,122,736,252,101,725,359,49,648,400,-3
62,63,502,158,633,73,159,707,156,123,736,251,102,726,359,53,648,400,-3
63,64,502,158,632,72,161,706,155,125,736,249,101,727,358,61,648,399,-5
64,65,502,158,632,71,162,706,154,124,735,248,102,727,358,64,647,400,-6
65,66,502,158,630,71,166,705,153,124,735,247,102,728,356,70,648,399,-5
66,67,502,158,630,71,169,704,152,125,735,246,103,728,356,73,648,399,-5
67,68,502,158,628,70,176,703,151,126,735,244,103,729,355,81,647,400,-6
68,69,502,158,626,70,180,702,149,126,734,243,103,729,352,85,647,400,-6
69,70,502,158,626,70,-176,702,149,126,734,242,104,730,353,88,648,399,-5
70,71,502,158,624,70,-171,701,148,127,734,241,104,729,351,91,648,399,-5
71,72,502,158,622,70,-169,700,147,126,733,240,106,730,350,92,648,399,-5
72,73,502,158,620,70,-164,699,146,128,733,238,106,730,348,93,649,399,-2
73,74,502,158,621,70,-161,698,145,127,733,237,107,730,347,93,650,400,0
74,75,502,158,619,70,-159,697,144,129,733,236,108,729,345,95,651,400,2
75,76,502,158,619,70,-159,617,71,-155,732,234,110,729,344,96,653,400,6
76,77,502,158,616,71,-152,695,142,129,732,233,110,730,343,97,654,400,8
77,78,502,158,615,72,-150,694,141,129,731,232,110,729,340,95,655,400,12
78,79,502,158,613,72,-147,693,139,130,731,230,110,729,339,95,657,400,17
79,80,502,158,612,73,-147,692,139,130,730,229,110,729,338,95,658,400,19
80,81,502,158,611,74,-145,692,138,138,730,228,109,729,337,93,658,400,20
81,82,502,158,610,75,-141,691,137,147,731,227,113,729,335,93,661,398,25
82,83,502,158,609,76,-141,691,137,150,729,225,113,729,334,92,662,398,28
83,84,502,158,608,76,-139,690,137,157,729,223,115,729,332,92,664,398,30
84,85,502,158,606,77,-139,689,137,160,728,222,117,728,330,91,664,397,30
85,86,502,158,605,78,-140,687,136,162,728,221,118,728,328,91,667,396,34
86,87,502,158,604,79,-140,686,135,164,727,220,118,728,327,91,667,396,33
87,88,502,158,603,80,-140,684,135,164,727,219,116,728,325,91,669,395,37
88,89,502,158,602,81,-141,683,135,166,726,217,117,728,325,91,669,395,37
89,90,502,158,601,82,-141,682,134,167,725,216,116,728,323,91,671,394,39
90,91,502,158,600,83,-141,679,134,162,725,215,118,728,321,91,673,392,41
91,92,502,158,599,83,-140,679,134,162,725,214,118,728,320,91,673,392,41
92,93,502,158,598,85,-141,677,134,161,723,212,116,728,319,91,674,391,43
93,94,502,158,597,85,-141,677,134,160,723,212,117,728,318,91,675,391,43
94,95,502,158,596,86,-141,675,133,157,722,211,117,728,316,91,676,389,44
95,96,502,158,595,87,-141,673,132,156,722,209,119,728,314,91,678,388,45
96,97,502,158,594,88,-142,672,132,153,721,208,117,729,313,90,679,386,45
97,98,502,158,592,89,-142,670,131,150,720,206,117,728,311,91,680,386,44
98,99,502,158,592,89,-142,669,131,151,720,205,118,729,311,90,680,385,42
99,100,502,158,591,90,-143,668,130,149,719,204,117,728,309,91,681,385,43
100,101,502,158,589,91,-142,668,130,149,718,202,118,729,308,90,681,385,40
101,102,502,158,588,92,-142,667,130,148,718,200,120,728,306,91,681,385,40
102,103,502,158,587,93,-141,668,130,150,718,200,120,728,305,91,681,384,41
103,104,502,158,586,94,-143,668,130,150,717,199,122,728,304,91,681,384,40
104,105,502,158,585,95,-141,668,130,151,717,199,121,729,303,90,681,384,39
105,106,502,158,584,96,-142,668,130,152,717,199,122,728,301,91,681,384,37
106,107,502,158,583,97,-142,667,130,151,717,198,123,728,299,91,681,384,37
107,108,502,158,582,97,-142,667,130,151,717,198,123,728,298,91,681,384,37
108,109,502,158,580,98,-142,668,130,152,717,198,124,728,296,91,683,384,37
109,110,502,158,580,99,-142,668,130,154,716,198,126,728,296,91,682,383,37
110,111,502,158,579,100,-143,668,130,155,717,198,127,728,294,91,684,383,38
111,112,502,158,578,100,-142,668,130,155,717,198,129,728,293,91,684,382,37
112,113,502,158,577,102,-142,667,129,154,717,198,131,728,291,92,686,381,41
113,114,502,158,575,103,-141,665,129,154,717,197,133,728,290,92,687,380,43
114,115,502,158,574,103,-141,664,128,153,717,197,133,728,289,92,689,379,45
115,116,502,158,573,104,-142,663,127,154,716,197,135,728,287,92,689,378,47
116,117,502,158,573,105,-142,662,127,156,716,197,136,728,286,92,690,378,48
117,118,502,158,571,106,-142,661,126,157,717,197,138,728,284,92,691,376,51
118,119,502,158,570,107,-142,659,126,156,716,196,140,728,283,93,693,376,54
119,120,502,158,568,108,-141,658,125,157,716,196,140,728,281,96,694,374,56
120,121,502,158,568,109,-142,656,125,156,716,197,141,727,280,95,694,374,56
121,122,502,158,567,110,-142,656,125,159,716,196,144,728,278,96,695,372,58
122,123,502,158,566,110,-141,655,125,159,716,196,145,727,278,95,696,371,59
123,124,502,158,565,111,-142,654,125,159,716,196,146,728,276,97,696,370,62
124,125,502,158,564,112,-141,652,124,159,716,196,146,728,275,97,697,369,63
125,126,502,158,563,113,-142,651,123,160,714,194,145,727,275,99,698,368,64
126,127,502,158,561,114,-141,649,123,161,712,194,143,727,274,99,699,368,66
127,128,502,158,561,114,-142,649,123,160,712,193,145,727,274,99,699,366,66
128,129,502,158,559,116,-141,648,123,160,711,192,143,727,274,99,700,364,68
129,130,502,158,559,115,-140,648,123,160,710,191,143,728,274,101,700,363,67
130,131,502,158,557,117,-141,647,122,161,709,191,141,728,274,101,701,362,68
131,132,502,158,556,118,-141,647,123,159,708,189,139,728,274,104,701,360,70
132,133,502,158,555,119,-141,646,122,160,707,189,138,727,274,103,702,360,68
133,134,502,158,554,120,-141,647,122,161,706,187,139,728,274,104,703,358,72
134,135,502,158,553,120,-140,647,122,161,706,187,139,728,275,105,703,357,71
135,136,502,158,552,121,-141,646,122,161,704,186,135,728,274,105,703,356,71
136,137,502,158,551,121,-140,646,122,161,703,185,135,728,274,105,704,355,72
137,138,502,158,550,123,-141,645,121,164,703,185,137,728,275,108,704,354,72
138,139,502,158,549,123,-141,644,121,162,703,185,137,728,275,108,704,354,73
139,140,502,158,548,124,-142,642,121,164,703,185,136,728,274,110,704,353,73
140,141,502,158,547,125,-141,641,121,166,704,185,139,728,274,110,705,352,73
141,142,502,158,546,126,-141,640,121,167,704,185,139,728,273,110,704,353,71
142,143,502,158,545,127,-141,638,120,168,703,184,140,727,271,110,704,352,71
143,144,502,158,544,127,-142,637,120,171,703,184,141,727,270,109,705,352,73
144,145,502,158,543,128,-142,636,120,173,703,184,143,727,269,110,704,353,70
145,146,322,287,542,129,-141,635,120,174,702,184,144,726,267,108,704,353,70
146,147,322,287,541,130,-141,634,120,174,702,184,146,726,266,110,704,352,70
147,148,322,287,539,131,-141,632,120,176,703,184,149,725,264,108,704,352,68
148,149,322,287,539,131,-141,631,120,176,702,184,147,726,265,110,704,352,67
149,150,322,287,537,133,-141,629,120,176,701,182,149,725,264,108,704,353,65
150,151,322,287,537,133,-142,629,120,176,700,182,148,725,264,109,705,353,65
151,152,322,287,535,134,-141,627,120,177,699,181,149,725,265,110,705,352,65
152,153,322,287,535,134,-142,626,119,178,698,180,149,725,265,110,705,351,64
153,154,322,287,534,135,-143,625,120,180,696,180,147,725,265,110,705,350,62
154,155,322,287,532,137,-141,623,120,-178,695,179,147,725,265,110,706,348,60
155,156,322,287,532,137,-143,621,120,178,694,179,146,726,264,112,706,348,59
156,157,322,287,531,138,-143,621,120,-177,692,177,145,725,264,112,706,348,59
157,158,322,287,529,139,-143,619,120,-177,692,177,145,726,265,113,706,347,58
158,159,322,287,527,140,-144,617,120,-177,690,176,146,726,264,114,707,347,57
159,160,322,287,527,141,-144,616,120,-177,689,175,142,725,264,115,707,347,57
160,161,322,287,526,142,-144,614,121,-176,688,174,143,726,264,117,706,347,56
161,162,322,287,525,143,-146,614,121,-175,688,174,143,725,263,118,706,348,55
162,163,322,287,524,143,-144,612,121,-174,686,173,142,725,261,117,706,348,53
163,164,322,287,523,144,-145,611,121,-173,685,172,142,724,261,117,707,348,54
164,165,322,287,522,145,-144,610,122,-173,685,171,145,723,260,119,706,347,52
165,166,322,287,521,145,-145,609,122,-173,684,170,144,723,259,118,706,348,53
166,167,322,287,520,146,-144,607,122,-172,682,169,143,722,257,116,706,348,50
167,168,322,287,519,147,-144,605,122,-170,681,168,143,721,255,115,706,347,49
168,169,322,287,518,148,-144,604,122,-169,680,168,143,721,254,116,707,347,50
169,170,322,287,516,149,-145,603,123,-169,679,167,144,721,253,117,706,347,48
170,171,322,287,516,149,-144,602,123,-169,679,167,145,721,253,118,706,348,46
171,172,322,287,514,150,-145,601,123,-170,680,167,147,719,250,116,706,347,45
172,173,322,287,513,151,-144,599,123,-168,679,167,144,719,248,117,707,347,46
173,174,322,287,511,153,-146,599,123,-170,679,167,146,718,247,116,708,346,48
174,175,322,287,511,153,-145,599,123,-170,679,167,147,718,247,118,708,345,49
175,176,322,287,510,153,-143,599,124,-173,680,166,152,717,245,117,709,345,52
176,177,322,287,509,154,-144,599,124,-173,679,166,151,717,244,117,710,344,53
177,178,322,287,507,155,-145,597,124,-172,678,165,152,716,243,117,711,343,57
178,179,322,287,506,156,-145,596,124,-170,676,165,154,716,241,118,712,342,61
179,180,322,287,506,157,-145,595,125,-173,675,164,152,715,241,116,713,340,64
180,181,322,287,504,157,-143,593,125,-169,674,163,155,716,241,118,713,340,65
181,182,322,287,503,158,-145,592,125,-169,673,163,154,715,240,117,714,338,68
182,183,322,287,502,159,-144,591,125,-168,671,162,152,715,240,118,715,337,72
183,184,322,287,501,159,-145,590,125,-167,671,161,156,715,240,117,715,336,74
184,185,322,287,500,160,-144,588,126,-166,671,161,155,715,240,118,716,335,74
185,186,322,287,499,162,-145,587,127,-166,671,162,157,715,240,119,716,334,77
186,187,322,287,498,162,-144,586,127,-166,671,162,157,715,240,119,717,332,79
187,188,322,287,497,163,-144,584,127,-165,671,162,157,715,240,121,717,330,81
188,189,322,287,496,163,-144,584,127,-164,671,162,157,715,240,122,717,329,81
189,190,322,287,495,164,-144,582,128,-165,671,162,157,715,239,121,717,328,81
190,191,322,287,493,166,-146,580,128,-164,670,162,158,714,238,122,717,326,84
191,192,322,287,493,166,-144,579,128,-164,670,162,158,713,237,123,718,326,85
192,193,322,287,491,167,-145,577,129,-164,668,161,159,713,236,123,718,324,87
193,194,322,287,490,167,-143,577,130,-162,667,159,160,713,236,123,718,324,87
194,195,322,287,490,168,-144,576,130,-161,665,160,158,713,236,124,718,324,87
195,196,322,287,488,169,-143,574,131,-160,665,159,161,713,236,124,718,324,87
196,197,322,287,487,170,-144,573,131,-161,663,158,160,713,236,124,718,323,86
197,198,322,287,485,171,-144,571,132,-159,661,157,163,713,236,127,718,323,85
198,199,322,287,485,171,-144,571,132,-161,660,157,162,713,236,127,718,323,85
199,200,322,287,483,172,-143,569,133,-159,659,156,163,713,235,128,718,323,84
200,201,322,287,483,173,-144,568,133,-161,658,156,162,712,234,127,718,323,84
201,202,322,287,481,175,-145,567,134,-159,656,155,163,711,232,128,718,323,84
202,203,322,287,480,175,-144,567,134,-159,565,135,-163,710,232,128,718,324,81
203,204,322,287,479,175,-143,564,135,-159,654,155,162,710,231,128,718,323,81
204,205,322,287,478,177,-145,563,135,-161,653,154,162,709,230,128,718,323,79
205,206,322,287,477,178,-146,562,136,-159,652,154,163,708,229,127,718,323,79
206,207,322,287,476,178,-144,561,137,-159,650,153,163,707,228,127,718,323,79
207,208,322,287,475,179,-145,560,137,-160,649,153,163,707,227,128,718,323,78
208,209,322,287,474,180,-145,558,138,-159,648,152,166,705,225,126,718,322,78
209,210,322,287,473,181,-145,556,138,-158,646,152,165,706,225,129,719,320,79
210,211,322,287,472,182,-145,556,139,-159,646,152,166,704,223,127,719,319,79
211,212,322,287,470,182,-143,554,140,-159,644,151,166,703,222,127,719,317,80
212,213,322,287,469,183,-144,552,139,-157,642,150,168,702,221,126,719,315,80
213,214,322,287,468,184,-144,552,139,-157,551,141,-158,702,220,129,720,314,83
214,215,322,287,467,185,-145,552,139,-157,550,142,-158,700,218,126,720,313,85
215,216,322,287,466,186,-145,548,142,-157,638,149,168,700,217,129,720,312,87
216,217,322,287,465,186,-144,548,143,-158,638,149,168,700,217,129,720,311,87
217,218,322,287,464,187,-144,546,143,-157,636,149,169,699,215,129,721,309,90
218,219,322,287,463,188,-145,545,144,-156,636,148,170,698,214,128,721,308,90
219,220,322,287,462,188,-144,545,144,-155,634,148,170,697,213,128,721,307,93
220,221,322,287,461,189,-145,543,145,-156,632,148,170,697,212,130,721,306,92
221,222,322,287,459,190,-145,542,146,-155,632,147,171,696,211,129,721,304,93
222,223,322,287,458,191,-144,540,147,-155,630,147,171,695,209,130,720,302,94
223,224,322,287,458,191,-144,540,147,-155,630,147,172,694,209,129,720,301,95
224,225,322,287,456,192,-143,538,148,-155,628,147,173,693,207,129,720,300,96
225,226,322,287,455,193,-144,537,148,-157,628,147,173,692,206,129,720,298,98
226,227,322,287,454,194,-143,536,149,-155,629,147,174,692,205,130,719,297,98
227,228,322,287,453,195,-145,535,149,-156,628,147,174,691,205,133,720,296,100
228,229,322,287,452,196,-145,535,149,-156,533,150,-158,690,204,130,720,294,100
229,230,322,287,451,196,-143,532,151,-158,628,147,176,690,204,130,719,294,101
230,231,322,287,450,197,-144,531,152,-159,627,146,178,691,204,132,719,292,102
231,232,322,287,448,198,-143,531,152,-159,627,147,180,691,204,132,719,290,103
232,233,322,287,447,199,-143,528,153,-158,625,146,-177,691,204,133,718,288,104
233,234,322,287,446,201,-145,526,154,-158,623,146,-177,691,203,134,718,287,105
234,235,322,287,444,201,-144,525,155,-159,622,146,-177,691,204,135,718,285,107
235,236,322,287,443,202,-143,525,155,-159,620,146,-175,691,204,137,717,283,106
236,237,322,287,442,202,-143,522,155,-157,619,146,-174,691,204,138,717,282,108
237,238,322,287,441,204,-144,521,156,-155,617,146,-174,691,204,137,717,281,107
238,239,322,287,440,205,-145,520,157,-155,616,146,-174,691,203,139,716,279,107
239,240,322,287,439,205,-144,519,157,-157,615,146,-174,691,203,139,716,278,109
240,241,322,287,438,207,-145,517,158,-154,613,147,-175,690,202,140,716,278,107
241,242,322,287,437,206,-144,517,159,-155,613,146,-174,689,201,139,716,278,108
242,243,322,287,436,208,-145,515,160,-155,611,146,-174,688,200,142,715,278,109
243,244,322,287,435,208,-144,514,160,-154,610,147,-173,687,200,140,715,278,108
244,245,322,287,434,209,-144,513,161,-155,608,147,-174,686,199,140,715,278,108
245,246,322,287,433,210,-145,512,161,-154,607,147,-175,685,198,142,716,278,110
246,247,322,287,432,210,-143,510,162,-154,606,147,-173,684,197,142,717,278,112
247,248,322,287,430,212,-144,509,162,-152,604,147,-174,683,196,142,716,278,114
248,249,322,287,430,212,-144,508,163,-151,603,147,-174,682,195,142,716,278,114
249,250,322,287,428,213,-144,507,164,-152,601,147,-174,681,194,142,716,278,115
250,251,322,287,427,214,-145,505,165,-154,600,148,-173,680,193,143,716,278,115
251,252,322,287,426,215,-145,505,166,-152,599,148,-173,679,193,144,716,278,116
252,253,322,287,425,215,-143,504,166,-153,597,148,-173,678,192,144,715,278,116
253,254,322,287,424,215,-143,503,167,-154,597,148,-172,677,191,144,716,278,118
254,255,322,287,423,217,-145,501,167,-150,595,148,-171,676,190,145,716,278,117
255,256,322,287,422,218,-145,500,168,-152,594,148,-171,674,189,146,716,278,120
256,257,322,287,421,218,-143,499,169,-152,592,148,-171,674,188,147,716,277,119
257,258,322,287,420,219,-144,498,169,-151,591,148,-170,672,187,147,715,276,119
258,259,322,287,419,220,-145,497,170,-154,590,148,-170,671,186,148,714,275,120
259,260,322,287,417,220,-143,496,170,-153,588,148,-170,671,186,148,714,274,121
260,261,322,287,416,222,-145,494,172,-154,587,149,-169,670,185,151,712,272,120
261,262,322,287,415,222,-145,494,173,-155,586,149,-169,670,186,149,712,271,120
262,263,322,287,414,223,-144,492,173,-154,584,149,-169,671,185,151,711,269,120
263,264,322,287,413,224,-144,491,173,-152,583,149,-168,670,185,151,710,268,120
264,265,322,287,412,224,-143,490,174,-154,582,149,-168,669,185,149,710,267,120
265,266,322,287,411,226,-145,489,175,-153,580,149,-167,668,184,150,709,266,118
266,267,322,287,410,227,-145,487,176,-154,578,150,-166,667,182,152,709,264,119
267,268,322,287,409,227,-145,487,176,-153,578,150,-166,666,182,154,708,264,119
268,269,322,287,408,228,-145,484,178,-153,576,150,-167,665,182,156,707,262,119
269,270,322,287,407,229,-145,484,178,-154,575,150,-166,664,181,154,706,261,120
270,271,322,287,406,230,-145,483,179,-151,574,151,-166,663,181,156,705,260,120
271,272,322,287,404,230,-143,481,179,-150,571,151,-165,662,180,156,704,259,120
272,273,322,287,404,231,-145,481,180,-153,571,151,-164,661,180,156,704,257,120
273,274,322,287,402,232,-144,480,181,-152,569,151,-163,659,179,156,703,256,120
274,275,322,287,402,232,-144,479,181,-151,568,151,-163,658,177,156,703,256,121
275,276,322,287,400,234,-144,477,182,-150,567,152,-164,657,178,156,702,254,121
276,277,322,287,400,234,-145,476,183,-152,566,152,-163,656,177,157,702,253,122
277,278,322,287,398,235,-144,475,183,-150,565,152,-163,654,176,157,702,253,123
278,279,322,287,398,235,-144,474,185,-153,564,152,-163,653,176,157,701,253,122
279,280,322,287,396,237,-146,472,185,-153,562,153,-162,653,175,158,702,253,123
280,281,322,287,395,237,-145,471,186,-154,560,153,-161,651,174,158,702,252,124
281,282,322,287,394,238,-145,471,187,-154,559,154,-162,650,174,158,701,252,125
282,283,322,287,393,239,-145,469,187,-151,558,154,-161,649,172,160,701,252,125
283,284,322,287,392,239,-144,468,188,-154,557,154,-163,647,172,159,702,252,126
284,285,322,287,391,240,-145,467,188,-152,555,155,-162,645,171,160,701,251,126
285,286,322,287,390,241,-145,466,190,-152,554,155,-161,644,171,162,700,250,126
286,287,322,287,389,242,-146,465,190,-151,552,156,-162,643,170,162,699,249,126
287,288,322,287,388,243,-145,464,190,-150,551,156,-161,642,170,162,699,248,127
288,289,322,287,386,243,-144,462,192,-151,550,156,-161,640,169,163,697,247,126
289,290,322,287,385,244,-144,461,192,-152,548,156,-159,639,168,166,697,246,127
290,291,322,287,385,245,-145,460,193,-154,547,157,-160,638,168,166,696,245,126
291,292,322,287,383,246,-144,459,193,-153,546,157,-159,636,167,166,695,244,126
292,293,322,287,382,247,-144,458,195,-155,544,158,-159,635,167,168,694,242,126
293,294,322,287,380,248,-144,456,196,-155,543,158,-160,633,166,168,693,241,126
294,295,322,287,380,248,-144,455,196,-154,542,159,-160,632,166,169,692,240,126
295,296,322,287,379,249,-146,454,196,-153,540,159,-159,631,166,169,691,239,126
296,297,322,287,377,250,-144,452,197,-152,538,160,-159,629,165,170,691,238,127
297,298,322,287,377,250,-146,451,198,-154,538,160,-158,628,165,170,690,237,127
298,299,322,287,375,251,-145,450,199,-152,537,160,-159,627,165,170,689,236,127
299,300,322,287,374,252,-144,449,199,-151,535,161,-160,626,164,171,688,235,126
300,301,322,287,373,253,-144,448,201,-152,534,161,-159,624,164,171,687,233,126
301,302,322,287,372,254,-145,446,201,-150,532,162,-159,623,163,171,686,232,126
302,303,322,287,370,255,-144,445,202,-149,531,163,-157,621,164,173,685,230,126
303,304,322,287,370,255,-145,445,203,-152,530,163,-156,620,163,171,685,230,127
304,305,322,287,369,256,-145,443,204,-151,530,163,-156,528,163,-155,684,228,126
305,306,322,287,368,257,-145,443,204,-152,528,164,-157,618,163,172,683,228,127
306,307,322,287,366,257,-145,441,205,-154,528,164,-157,526,164,-155,682,227,127
307,308,322,287,365,258,-146,440,205,-153,525,165,-156,616,162,176,681,225,128
308,309,322,287,364,259,-146,439,207,-155,524,165,-156,616,162,176,680,224,129
309,310,214,199,363,260,-145,438,207,-154,522,166,-157,616,162,176,679,223,128
310,311,214,199,362,261,-145,437,208,-155,521,166,-155,616,162,176,678,221,130
311,312,214,199,361,261,-146,435,208,-156,520,167,-155,616,162,176,677,221,130
312,313,214,199,360,262,-145,433,209,-155,520,167,-155,615,162,177,676,219,130
313,314,214,199,358,263,-145,433,210,-155,517,168,-155,614,161,178,675,218,131
314,315,214,199,357,263,-145,432,210,-155,517,168,-155,613,162,176,675,217,131
315,316,214,199,356,264,-147,430,211,-154,515,169,-155,611,161,178,673,217,133
316,317,214,199,356,265,-149,430,212,-155,515,169,-155,610,161,180,673,216,133
317,318,214,199,355,265,-154,428,213,-155,513,170,-155,609,161,180,672,216,133
318,319,214,199,353,267,-161,427,213,-152,511,171,-155,607,161,180,673,215,135
319,320,214,199,352,267,-163,426,213,-153,510,171,-155,607,160,-177,673,215,135
320,321,214,199,351,268,-169,425,214,-153,509,171,-154,604,160,-177,672,215,135
321,322,214,199,349,269,-176,423,216,-155,507,172,-154,602,160,-177,673,216,136
322,323,214,199,348,269,177,422,216,-154,506,173,-155,601,160,-175,673,215,136
323,324,214,199,346,268,175,421,216,-154,505,173,-156,600,160,-177,673,215,138
324,325,214,199,344,269,169,420,217,-154,503,174,-155,599,160,-175,673,215,138
325,326,214,199,343,269,165,419,218,-155,503,174,-154,598,160,-175,673,215,141
326,327,214,199,342,268,162,418,218,-154,501,175,-155,596,160,-175,672,215,141
327,328,214,199,341,268,161,418,219,-156,500,175,-154,595,160,-174,673,215,142
328,329,214,199,339,268,155,416,220,-155,499,176,-155,593,160,-174,672,213,141
329,330,214,199,338,267,154,414,220,-155,497,177,-155,591,160,-174,670,213,141
330,331,214,199,337,267,152,414,220,-155,495,177,-154,591,160,-174,669,213,141
331,332,214,199,336,266,150,413,222,-156,495,177,-153,589,160,-174,668,212,142
332,333,214,199,334,265,150,410,223,-158,493,178,-153,587,160,-174,667,210,143
333,334,214,199,333,265,149,410,223,-159,492,178,-154,586,160,-174,666,210,142
334,335,214,199,332,264,148,408,224,-159,491,179,-153,585,161,-175,665,209,143
335,336,214,199,331,264,149,407,224,-161,490,179,-152,584,161,-173,664,208,144
336,337,214,199,330,263,148,408,224,-161,488,180,-154,582,161,-173,663,207,144
337,338,214,199,329,262,148,407,224,-161,488,180,-153,581,161,-173,662,207,146
338,339,214,199,328,262,147,407,224,-162,486,181,-153,580,160,-170,661,206,145
339,340,214,199,327,261,148,407,224,-163,485,181,-153,579,161,-172,660,206,146
340,341,214,199,326,260,148,407,224,-162,484,182,-153,577,161,-172,659,205,145
341,342,214,199,324,260,149,407,224,-164,483,183,-154,575,161,-171,657,203,147
342,343,214,199,324,259,148,408,224,-164,482,183,-153,574,161,-171,656,203,146
343,344,214,199,322,259,149,407,224,-166,481,183,-154,573,161,-169,654,202,146
344,345,214,199,321,258,149,408,224,-167,481,183,-153,571,161,-170,653,201,147
345,346,214,199,320,257,148,407,225,-169,481,184,-155,570,161,-169,653,200,147
346,347,214,199,319,256,150,407,225,-169,481,184,-155,568,162,-169,651,199,148
